Article_Name,ingredient_name,usage_amount,ingredient_name_02,usage_amount_02,ingredient_name_03,usage_amount_03,ingredient_name_04,usage_amount_04,ingredient_name_05,usage_amount_05
b) SUPE PULE SPINAQ ,FILETO PULE LP,0.05,,,,,,,,
b) TAGLIATELE KUNGUJ KARKALECA,KARKALECA OLA LP,1,,,,,,,,
b) TORTE KARROTE,TORTE KARROTE LP,1,,,,,,,,
c) BRAVO LULESHTRYDHE,BRAVO LP,1,,,,,,,,
c) BRAVO MOLLE,BRAVO LP,1,,,,,,,,
c) BRAVO PJESHKE,BRAVO LP,1,,,,,,,,
c) EXTRA PULE 120GR,FILETO PULE LP,0.12,,,,,,,,
c) FILETO PESHKU,FILETO PESHKU LP,1,,,,,,,,
c) FILETO PESHKU PURE SALLATE,FILETO PESHKU LP,0.5,,,,,,,,
c) FILETO VICI,FILETO VICI LP,1,,,,,,,,
c) KAFE PERSONELI,Kafe LP,0.01,,,,,,,,
c) KOTOLET BOWL,FILETO PULE LP,0.15,,,,,,,,
c) KOTOLET CHICKEN SANDWICH,MOCARELA BLLOK LP ,0.05,FILETO PULE LP,0.12,,,,,,
c) KOTOLET WRAPS,MOCARELA BLLOK LP ,0.05,FILETO PULE LP,0.12,,,,,,
c) ORECCHIETTE SALCICE TARTUF,SALCICE TE VILES LP,0.07,GRANA PADANA LP ,0.05,,,,,,
c) QOFTE KUNGULLI,DJATH I BARDHE DELE LP,0.1,,,,,,,,
c) SALLAT MESDHETARE  ,DJATH I BARDHE DELE LP,0.05,FILETO PULE LP,0.12,,,,,,
c) SALMON ZGARE,SALMON RACION LP,1,,,,,,,,
c) TORTE CHOCOLLATE,TORTE CHOCOLLATE LP ,1,,,,,,,,
d) AMA DECAFEINATO,AMA DECAFFEINATO LP,1,,,,,,,,
d) CAVATELLI DOMATE MOZZARELLA,MOCARELA BLLOK LP ,0.06,,,,,,,,
d) KAPUCINO,KAPUCINO LP,1,,,,,,,,
d) MINI PIZZA PIKANTE,SALLAM PIKANT LP,0.05,MOCARELA BLLOK LP ,0.07,,,,,,
d) PANINE MESDHETARE,MOCARELA BLLOK LP ,0.05,DJATH I BARDHE DELE LP,0.06,,,,,,
d) SALLAT COBB,PANCETE LP,0.07,GORGONZOLA LP,0.05,FILETO PULE LP,0.12,,,,
d) SALMON  KREM SPINAQI GRANA,SALMON RACION LP,1,,,,,,,,
d) SAN PELEGRINO,SAN PELEGRINO LP,1,,,,,,,,
d) TORTE E PLOTE,TORTE KARROTE LP,14,,,,,,,,
d) TROFIE PESTO PULE,GRANA PADANA LP ,0.05,FILETO PULE LP,0.1,,,,,,
e) CRUNCHWRAP SUPREME,DJATH CHEDAR LP,0.05,RAGU LP ,0.1,,,,,,
e) DJATH I BARDHE,DJATH I BARDHE DELE LP,0.15,,,,,,,,
e) EXTRA DJATH,DJATH I BARDHE DELE LP,0.05,,,,,,,,
e) FISH BOWL ,FILETO PESHKU LP,0.5,,,,,,,,
e) KAPUCINO ME BUSTIN,KAPUCINO LP,1,,,,,,,,
e) RED BULL,RED BULL LP,1,,,,,,,,
e) SALLAT QUINOA,DJATH I BARDHE DELE LP,0.08,,,,,,,,
f) BIRRA KORCA B Z,BIRRA KORCA B Z LP,1,,,,,,,,
f) EXTRA BACON,PANCETE LP,0.06,,,,,,,,
f) FARFALLE SALMON BIZELE,GRANA PADANA LP ,0.04,SALMON RACION LP,0.5,,,,,,
f) KAPUCINO ME KAFE,Kafe LP,0.01,,,,,,,,
f) LEMON SODA ,LEMON SODA LP,1,,,,,,,,
f) ORANGE SODA,LEMON SODA LP,1,,,,,,,,
f) SALLATE MEKSIKANE,DJATH I BARDHE DELE LP,0.08,,,,,,,,
f) SALMON BOWL,SALMON RACION LP,0.5,,,,,,,,
f) SALMON ZGARE QUINOA SALLATE,SALMON RACION LP,0.5,,,,,,,,
f) TAGLIATELLE PULE KERPUDHA,GRANA PADANA LP ,0.04,FILETO PULE LP,0.12,,,,,,
f) TERIYAKI CHICKEN ORIZ BASMATI,FILETO PULE LP,0.23,,,,,,,,
g) BIFTEK ZGARE,BIFTEK VICI LP,0.22,,,,,,,,
g) BIRRE LEFE BJONDE,BIRRE LEFE LP,1,,,,,,,,
g) EXTRA GORGONZOLA,GORGONZOLA LP,0.05,,,,,,,,
g) KAFE LATTE,Kafe LP,0.01,,,,,,,,
g) QOFTE ZGARE,QOFTE ZGARE LP,0.21,,,,,,,,
g) RISOTTO ME PERIME,GRANA PADANA LP ,0.04,,,,,,,,
g) SHISHQEBAP PULE PATATE ,FILETO PULE LP,0.15,,,,,,,,
h)  GRANA,GRANA PADANA LP ,0.05,,,,,,,,
h) BIRRE PA ALKOOL,BIRRE PA ALKOOL LP,1,,,,,,,,
h) BYREK TRADICIONAL,DJATH I BARDHE DELE LP,0.15,,,,,,,,
h) FREDO ESPRESSO,Kafe LP,0.01,,,,,,,,
h) PANINE COTTO,MOCARELA BLLOK LP ,0.05,PROSHUTE COTTO LP,0.05,,,,,,
h) RISOTTO PULE TARTUF,GRANA PADANA LP ,0.04,FILETO PULE LP,0.12,,,,,,
h) SALLATE GREKE QIQRA PUL,FILETO PULE LP,0.1,DJATH I BARDHE DELE LP,0.05,,,,,,
i) BERXOLLE 350GR,BERXOLLE VICI LP,0.4,,,,,,,,
i) BERXOLLE 500GR,BERXOLLE VICI LP,0.55,,,,,,,,
i) BERXOLLE 800,BERXOLLE VICI LP,0.9,,,,,,,,
i) BITTER,BITTER LP,1,,,,,,,,
i) BRITVIC,UJE TONIK BRITVIC LP,1,,,,,,,,
i) CRODINO,CRODINO LP,1,,,,,,,,
i) ICED CAFFEE LATE,Kafe LP,0.01,,,,,,,,
i) ORIZ ZI KARKALECA TARTUF,GRANA PADANA LP ,0.05,KARKALECA OLA LP,1,,,,,,
j) MAKIATO FREDDO,Kafe LP,0.01,,,,,,,,
j) PASTA ME RAGU,GRANA PADANA LP ,0.05,RAGU LP ,0.15,,,,,,
